DeviceTag: 5,FirmwareVersion: 2.4.0,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2023-08-10 15:40:58.082,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10483988,0.9999,-0.0078,0.0084,0.0072,-0.0005,-0.0042,0.1626,0
10484154,0.9999,-0.0078,0.0083,0.0072,-0.0038,0.0076,0.1833,0
10484321,0.9999,-0.0078,0.0083,0.0072,-0.0038,-0.0012,0.1681,0
10484488,0.9999,-0.0078,0.0083,0.0072,-0.0087,0.0067,0.1879,0
10484654,0.9999,-0.0078,0.0083,0.0072,0.0197,0.0107,0.1823,0
10484821,0.9999,-0.0078,0.0083,0.0072,0.0127,0.0173,0.1801,0
10484988,0.9999,-0.0078,0.0083,0.0072,0.0080,0.0055,0.1429,0
10485154,0.9999,-0.0078,0.0083,0.0072,-0.0072,0.0054,0.1575,0
10485321,0.9999,-0.0078,0.0083,0.0072,-0.0062,0.0148,0.1727,0
10485488,0.9999,-0.0078,0.0083,0.0072,-0.0115,-0.0004,0.1661,0
10485654,0.9999,-0.0078,0.0083,0.0072,-0.0007,0.0002,0.1841,0
10485821,0.9999,-0.0078,0.0083,0.0072,0.0107,0.0125,0.1731,0
10485988,0.9999,-0.0078,0.0083,0.0072,0.0071,0.0129,0.1687,0
10486154,0.9999,-0.0078,0.0083,0.0072,-0.0004,0.0045,0.1615,0
10486321,0.9999,-0.0078,0.0084,0.0072,-0.0030,0.0016,0.1507,0
10486488,0.9999,-0.0078,0.0084,0.0072,-0.0101,-0.0033,0.1717,0
10486654,0.9999,-0.0078,0.0083,0.0072,0.0074,0.0002,0.1666,0
10486821,0.9999,-0.0078,0.0083,0.0072,-0.0093,0.0234,0.1837,0
10486988,0.9999,-0.0078,0.0083,0.0072,0.0197,-0.0096,0.1982,0
10487154,0.9999,-0.0078,0.0083,0.0072,0.0114,0.0083,0.1785,0
10487321,0.9999,-0.0078,0.0083,0.0071,-0.0018,0.0116,0.1670,0
10487488,0.9999,-0.0078,0.0083,0.0071,0.0123,-0.0122,0.1657,0
10487654,0.9999,-0.0077,0.0083,0.0072,-0.0078,-0.0034,0.1613,0
10487821,0.9999,-0.0077,0.0083,0.0071,0.0036,-0.0011,0.1879,0
10487988,0.9999,-0.0077,0.0083,0.0071,-0.0026,0.0019,0.1702,0
10488154,0.9999,-0.0077,0.0083,0.0071,0.0184,0.0080,0.1826,0
10488321,0.9999,-0.0077,0.0083,0.0071,-0.0132,0.0051,0.1654,0
10488488,0.9999,-0.0077,0.0083,0.0071,-0.0159,0.0015,0.1715,0
10488654,0.9999,-0.0077,0.0083,0.0071,-0.0141,-0.0068,0.1916,0
10488821,0.9999,-0.0077,0.0083,0.0071,0.0107,-0.0023,0.1538,0
10488988,0.9999,-0.0077,0.0083,0.0071,0.0036,-0.0097,0.1569,0
10489154,0.9999,-0.0077,0.0083,0.0071,0.0079,0.0065,0.1887,0
10489321,0.9999,-0.0077,0.0083,0.0071,0.0118,0.0102,0.1809,0
10489488,0.9999,-0.0077,0.0083,0.0071,0.0130,-0.0013,0.1897,0
10489654,0.9999,-0.0077,0.0083,0.0071,-0.0076,0.0041,0.1639,0
10489821,0.9999,-0.0077,0.0084,0.0071,-0.0134,0.0020,0.1545,0
10489988,0.9999,-0.0077,0.0083,0.0071,-0.0065,0.0015,0.1612,0
10490154,0.9999,-0.0077,0.0083,0.0071,-0.0135,0.0026,0.1841,0
10490321,0.9999,-0.0077,0.0083,0.0071,0.0168,-0.0046,0.1798,0
10490488,0.9999,-0.0077,0.0083,0.0071,0.0048,0.0039,0.1742,0
10490654,0.9999,-0.0077,0.0083,0.0071,-0.0049,-0.0014,0.1773,0
10490821,0.9999,-0.0077,0.0083,0.0071,-0.0096,0.0092,0.1479,0
